touchpoint_id,channel,touchpoint_type,signal_type,campaign,spend_weekly,conversions_attributed,credit_pct,cpa,conversion_contribution_pct,spend_share_pct,efficiency_index,vta_flag,self_attribution_risk,notes
TP-001,Paid Search,click,Click,Brand - Core Terms,28000,520,1.00,53.85,34.2,22.4,1.53,false,low,High contribution vs spend — under-indexed
TP-002,Paid Search,click,Click,Non-Brand - Category,18000,210,1.00,85.71,13.8,14.4,0.96,false,low,Efficient but closer to portfolio average
TP-003,Paid Social - Meta,click,Click,Prospecting - LAL,15000,145,1.00,103.45,9.5,12.0,0.79,false,low,Click-based attribution only
TP-004,Paid Social - Meta,impression,Video View 100%,Video - Brand Awareness,22000,180,0.80,122.22,11.8,17.6,0.67,true,high,VTA — Meta self-reports 340 conversions vs 180 attributed
TP-005,Paid Social - Meta,impression,Video View 50%,Video - Brand Awareness,0,85,0.40,0.00,5.6,0.0,0.00,true,high,Shared spend with TP-004 — completion milestone signal
TP-006,Paid Social - Meta,impression,Ad Impression,Prospecting - Broad,8000,42,0.10,190.48,2.8,6.4,0.44,true,high,Low engagement impressions — high self-attribution risk
TP-007,Programmatic Display,impression,Viewable Impression,Retargeting - Site Visitors,25000,95,0.15,263.16,6.3,20.0,0.32,true,medium,Diminishing returns above $18k/week — marginal CPA 3x baseline
TP-008,Programmatic Display,impression,Ad Impression,Prospecting - In-Market,12000,38,0.10,315.79,2.5,9.6,0.26,true,medium,Low contribution — candidate for reallocation
TP-009,YouTube,impression,Video View 100%,Pre-Roll - Brand,8000,65,0.80,123.08,4.3,6.4,0.67,true,medium,Completion signal strong — but cross-device matching gap
TP-010,YouTube,impression,Video View 25%,Pre-Roll - Brand,0,22,0.15,0.00,1.4,0.0,0.00,true,medium,Shared spend with TP-009 — weak engagement signal
TP-011,CTV,impression,CTV Impression,Connected TV - Brand,5000,18,0.10,277.78,1.2,4.0,0.30,true,low,Small test budget — no click path exists — MMM layer needed
TP-012,Email,click,Click,Nurture - Weekly,1200,48,1.00,25.00,3.2,1.0,3.20,false,low,Highly efficient owned channel — systematically undervalued
TP-013,Email,click,Click,Retention - Win-back,800,22,1.00,36.36,1.4,0.6,2.33,false,low,Small volume but strong conversion signal
TP-014,SMS,click,Click,Cart Abandonment,600,15,1.00,40.00,1.0,0.5,2.00,false,low,High intent trigger-based — efficient
TP-015,Direct,click,Click,Organic / Type-in,0,32,1.00,0.00,2.1,0.0,0.00,false,low,No spend — baseline organic demand
